brand,model,identification,title,full_title,memory,color,price,discount_price,image,link,category,subcategory
Philips,Xenium E255,White,Philips Xenium E255,Philips Xenium E255 White,,gainsboro,109,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/e255.jpg,https://www.w-t.az/mehsul/5ea190fe58207400071bd66c/philips-xenium-e255-white,Telefon və planşetlər,Mobil telefonlar
Philips,Xenium E255,Blue,Philips Xenium E255,Philips Xenium E255 Blue,,midnightblue,109,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/philiiiiiiii-min.jpg,https://www.w-t.az/mehsul/5ea190fe58207400071bd66c/philips-xenium-e255-blue,Telefon və planşetlər,Mobil telefonlar
Philips,Xenium E255,Black,Philips Xenium E255,Philips Xenium E255 Black,,black,109,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Philips-Xenium-E255-black-min.jpg,https://www.w-t.az/mehsul/5ea190fe58207400071bd66c/philips-xenium-e255-black,Telefon və planşetlər,Mobil telefonlar
Philips,Xenium E255,Red,Philips Xenium E255,Philips Xenium E255 Red,,red,109,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Philips-Xenium-E255-red-min.jpg,https://www.w-t.az/mehsul/5ea190fe58207400071bd66c/philips-xenium-e255-red,Telefon və planşetlər,Mobil telefonlar
Philips,Xenium E109,Red,Philips Xenium E109,Philips Xenium E109 Red,,firebrick,49,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Philips-Xenium-E109-min.jpg,https://www.w-t.az/mehsul/5ea1916e58207400071bd670/philips-xenium-e109-red,Telefon və planşetlər,Mobil telefonlar
Xiaomi,Redmi Note 9 Pro,128GB Gray,Xiaomi Redmi Note 9 Pro,Xiaomi Redmi Note 9 Pro 128GB Gray,128GB,darkslategray,639,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/note 9 pro gray-min.jpg,https://www.w-t.az/mehsul/5ee0cbf7d5ef910007c111de/xiaomi-redmi-note-9-pro-128gb-gray,Telefon və planşetlər,Mobil telefonlar
Xiaomi,Redmi Note 9 Pro,128GB Green,Xiaomi Redmi Note 9 Pro,Xiaomi Redmi Note 9 Pro 128GB Green,128GB,teal,639,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/redmi note 9 pro green-min.jpg,https://www.w-t.az/mehsul/5ee0cbf7d5ef910007c111de/xiaomi-redmi-note-9-pro-128gb-green,Telefon və planşetlər,Mobil telefonlar
Xiaomi,Redmi Note 9 Pro,128GB White,Xiaomi Redmi Note 9 Pro,Xiaomi Redmi Note 9 Pro 128GB White,128GB,whitesmoke,639,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/redmi note 9 pro white-min.jpg,https://www.w-t.az/mehsul/5ee0cbf7d5ef910007c111de/xiaomi-redmi-note-9-pro-128gb-white,Telefon və planşetlər,Mobil telefonlar
Nokia,105,Black,Nokia 105,Nokia 105 Black,,black,59,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/nokia105-black-min.jpg,https://www.w-t.az/mehsul/5eeb584b7051df000721ac65/nokia-105-black,Telefon və planşetlər,Mobil telefonlar
Nokia,105,Pink,Nokia 105,Nokia 105 Pink,,deeppink,59,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/nokia-105-pink-min.jpg,https://www.w-t.az/mehsul/5eeb584b7051df000721ac65/nokia-105-pink,Telefon və planşetlər,Mobil telefonlar
